shot_id,sequence,subject,status,claim_class,output
SH01,01,Biupiu World gateway,PLANNED,BRAND,16:9/9:16
SH02,02,Regenerative agriculture,PLANNED,CONCEPT,16:9/9:16
SH03,03,Materials and composites,PLANNED,RESEARCH CONCEPT,16:9/9:16
SH04,04,Biupiu Blade microturbine,PLANNED,DESIGN STUDY,16:9/9:16
SH05,05,Marine/AQUA,PLANNED,CONCEPT,16:9/9:16
SH06,06,AeroBlade GT,PLANNED,DESIGN STUDY,16:9/9:16
SH07,07,eVTOL/helicopter,PLANNED,CONCEPT,16:9/9:16
SH08,08,AI/robotics,PLANNED,RESEARCH CONCEPT,16:9/9:16
SH09,09,Photonics,PLANNED,RESEARCH CONCEPT,16:9/9:16
SH10,10,Digital Twin,PLANNED,TECH DEMO,16:9/9:16
SH11,11,Biupiu World montage,PLANNED,BRAND,16:9/9:16
SH12,12,Biupiu closing identity,PLANNED,BRAND,16:9/9:16
